Vendedor,Mês,QuantidadeVendida,ValorVendido,TipoPagamento,Parcelas
Dr. Davi Lucas da Rosa,Abril,24,4765.36,PIX,
João Gabriel Monteiro,Janeiro,43,77398.36,PIX,
Dr. Davi Lucas da Rosa,Julho,25,37065.21,PIX,
Emilly Almeida,Agosto,37,6393.6,Dinheiro,
Sra. Elisa das Neves,Março,18,32572.02,Cartão de Crédito,12
Antônio Carvalho,Junho,18,10391.24,Dinheiro,
Enzo Santos,Agosto,38,32251.64,Cartão de Crédito,3
Sr. Bryan Nascimento,Outubro,19,8603.37,Cartão de Crédito,12
Vicente Cavalcanti,Novembro,35,52667.47,PIX,
Dr. Davi Lucas da Rosa,Julho,15,26189.33,Cartão de Crédito,6
João Gabriel Monteiro,Outubro,7,5224.47,Cartão de Crédito,3
Sra. Elisa das Neves,Novembro,44,80977.36,Cartão de Crédito,6
Dr. Davi Lucas da Rosa,Junho,47,93051.74,PIX,
Vicente Cavalcanti,Junho,25,10464.77,Dinheiro,
Vicente Cavalcanti,Julho,38,19803.28,Dinheiro,
Sarah Viana,Junho,34,42672.77,Dinheiro,
Antônio Carvalho,Fevereiro,15,26022.83,Dinheiro,
Sra. Elisa das Neves,Setembro,46,38792.57,PIX,
Ana Sophia Araújo,Novembro,32,34751.25,PIX,
Sr. Bryan Nascimento,Setembro,21,2723.73,PIX,
Dr. Davi Lucas da Rosa,Agosto,50,69609.79,PIX,
Sarah Viana,Janeiro,13,8873.5,Dinheiro,
Sra. Elisa das Neves,Novembro,33,54985.4,Cartão de Crédito,1
João Gabriel Monteiro,Agosto,39,39782.86,Cartão de Crédito,2
Dra. Pietra Viana,Dezembro,22,26526.64,PIX,
Dr. Davi Lucas da Rosa,Janeiro,6,10159.62,Cartão de Crédito,4
Nicolas Pereira,Fevereiro,21,13816.63,Cartão de Crédito,3
Sr. Bryan Nascimento,Junho,13,3948.39,Dinheiro,
Vicente Cavalcanti,Junho,40,71343.52,PIX,
Alice da Paz,Dezembro,34,9690.61,PIX,
Alice da Paz,Junho,3,391.52,Dinheiro,
Nicolas Pereira,Março,45,78394.13,Cartão de Crédito,3
Dr. Davi Lucas da Rosa,Fevereiro,3,4725.1,Cartão de Crédito,4
Enzo Santos,Outubro,34,64639.19,Cartão de Crédito,12
Clarice Porto,Setembro,31,36171.5,Dinheiro,
Samuel Pereira,Março,49,49403.09,PIX,
Antônio Carvalho,Março,16,27278.95,Dinheiro,
Dra. Pietra Viana,Junho,26,10641.8,Cartão de Crédito,3
Dra. Pietra Viana,Julho,27,5694.34,PIX,
Sr. Bryan Nascimento,Outubro,33,29352.64,PIX,
Dra. Pietra Viana,Agosto,18,12013.84,Cartão de Crédito,2
Alice da Paz,Dezembro,22,23526.71,Dinheiro,
João Gabriel Monteiro,Novembro,18,20314.15,PIX,
Samuel Pereira,Outubro,28,54113.28,PIX,
Dr. Davi Lucas da Rosa,Dezembro,40,25890.48,Dinheiro,
Vicente Cavalcanti,Maio,40,73196.99,Cartão de Crédito,12
Enzo Santos,Junho,2,717.28,Cartão de Crédito,1
Ana Sophia Araújo,Março,20,16155.14,Cartão de Crédito,6
Emilly Almeida,Abril,5,9605.38,Cartão de Crédito,12
João Gabriel Monteiro,Fevereiro,21,36752.56,Cartão de Crédito,2
Ana Sophia Araújo,Junho,22,22286.12,Dinheiro,
Sarah Viana,Novembro,41,37260.69,Dinheiro,
Vicente Cavalcanti,Novembro,7,4476.0,PIX,
Sr. Bryan Nascimento,Setembro,34,43252.29,PIX,
Clarice Porto,Outubro,46,47481.01,PIX,
Sr. Bryan Nascimento,Dezembro,15,13557.56,Dinheiro,
Dr. Davi Lucas da Rosa,Agosto,47,89486.56,Dinheiro,
Enzo Santos,Março,48,5380.52,PIX,
Sr. Bryan Nascimento,Setembro,48,68976.01,PIX,
Nicolas Pereira,Abril,5,5495.36,Cartão de Crédito,12
Dra. Pietra Viana,Fevereiro,48,16995.79,Cartão de Crédito,2
Sarah Viana,Outubro,10,17694.62,Dinheiro,
Ana Sophia Araújo,Novembro,20,25714.58,Cartão de Crédito,4
Samuel Pereira,Janeiro,6,6523.33,PIX,
Nicolas Pereira,Agosto,11,5362.7,Dinheiro,
Alice da Paz,Junho,2,2223.55,PIX,
Enzo Santos,Setembro,46,12211.83,PIX,
Vicente Cavalcanti,Março,23,23279.48,PIX,
Nicolas Pereira,Dezembro,24,28029.08,PIX,
Alice da Paz,Março,25,9850.86,Dinheiro,
Ana Sophia Araújo,Junho,10,12753.62,Dinheiro,
Sr. Bryan Nascimento,Novembro,48,46165.88,Dinheiro,
Dra. Pietra Viana,Abril,47,13830.92,Cartão de Crédito,6
Sr. Bryan Nascimento,Março,46,43015.49,Cartão de Crédito,12
Alice da Paz,Março,5,4843.08,Cartão de Crédito,2
Alice da Paz,Dezembro,47,24102.2,Dinheiro,
Emilly Almeida,Outubro,12,23012.55,Cartão de Crédito,3
Vicente Cavalcanti,Março,10,11956.31,Dinheiro,
João Gabriel Monteiro,Outubro,14,21110.46,Cartão de Crédito,1
Samuel Pereira,Julho,21,28324.16,Dinheiro,
Sra. Elisa das Neves,Novembro,20,10978.34,Dinheiro,
Vicente Cavalcanti,Abril,11,7894.64,PIX,
Samuel Pereira,Abril,37,63855.64,Dinheiro,
Sarah Viana,Junho,36,67875.22,PIX,
Enzo Santos,Fevereiro,32,47266.99,PIX,
Samuel Pereira,Dezembro,32,16507.05,PIX,
Nicolas Pereira,Abril,2,2369.97,PIX,
Sr. Bryan Nascimento,Maio,37,60696.67,PIX,
Clarice Porto,Dezembro,47,15101.57,PIX,
Clarice Porto,Outubro,29,3048.11,Dinheiro,
Vicente Cavalcanti,Agosto,5,2039.85,PIX,
Sarah Viana,Novembro,39,38616.67,Dinheiro,
João Gabriel Monteiro,Agosto,47,14747.42,PIX,
Samuel Pereira,Junho,9,10810.79,Dinheiro,
João Gabriel Monteiro,Setembro,16,5572.32,Cartão de Crédito,12
Dr. Davi Lucas da Rosa,Fevereiro,9,14464.3,PIX,
Samuel Pereira,Dezembro,4,4564.64,Cartão de Crédito,1
João Gabriel Monteiro,Janeiro,17,26280.2,PIX,
Clarice Porto,Novembro,30,32561.57,Dinheiro,
Sr. Bryan Nascimento,Outubro,29,22147.14,Cartão de Crédito,12
Samuel Pereira,Dezembro,46,81382.24,Dinheiro,
Dra. Pietra Viana,Junho,12,6598.95,Dinheiro,
Enzo Santos,Janeiro,49,78480.29,Cartão de Crédito,2
Ana Sophia Araújo,Maio,20,10978.92,PIX,
Emilly Almeida,Fevereiro,37,63819.55,Dinheiro,
Antônio Carvalho,Fevereiro,30,6785.28,Cartão de Crédito,2
Sr. Bryan Nascimento,Dezembro,37,66867.34,Cartão de Crédito,1
Dr. Davi Lucas da Rosa,Março,42,50259.64,Dinheiro,
Clarice Porto,Dezembro,23,31317.17,Cartão de Crédito,3
Sarah Viana,Agosto,18,24158.41,Dinheiro,
Dra. Pietra Viana,Abril,4,5051.81,Cartão de Crédito,1
Clarice Porto,Julho,31,7967.96,Dinheiro,
Clarice Porto,Agosto,6,7539.15,Cartão de Crédito,2
Enzo Santos,Janeiro,41,15857.58,Cartão de Crédito,1
Sarah Viana,Março,8,13974.31,Dinheiro,
Alice da Paz,Julho,30,45901.61,Cartão de Crédito,1
Sra. Elisa das Neves,Outubro,50,75872.0,Cartão de Crédito,1
Sra. Elisa das Neves,Julho,26,7762.57,Cartão de Crédito,1
Sra. Elisa das Neves,Outubro,47,7550.22,Cartão de Crédito,12
Antônio Carvalho,Novembro,48,89208.4,PIX,
João Gabriel Monteiro,Abril,13,24159.43,Dinheiro,
Samuel Pereira,Abril,3,1973.59,Cartão de Crédito,4
Enzo Santos,Junho,14,15661.55,Dinheiro,
Vicente Cavalcanti,Agosto,42,74174.43,PIX,
Dr. Davi Lucas da Rosa,Setembro,7,2690.1,PIX,
Vicente Cavalcanti,Fevereiro,6,3842.73,Dinheiro,
Emilly Almeida,Julho,41,44983.2,PIX,
Sr. Bryan Nascimento,Janeiro,37,50444.12,Cartão de Crédito,2
Clarice Porto,Maio,25,8618.35,Dinheiro,
Sarah Viana,Dezembro,24,47752.26,PIX,
Samuel Pereira,Julho,5,8199.41,Dinheiro,
Emilly Almeida,Janeiro,14,20436.91,Dinheiro,
Clarice Porto,Junho,9,14224.64,Dinheiro,
Alice da Paz,Janeiro,50,14230.97,PIX,
Sra. Elisa das Neves,Março,18,8323.87,PIX,
Dra. Pietra Viana,Junho,35,27884.93,PIX,
Dr. Davi Lucas da Rosa,Março,14,23912.7,PIX,
Sra. Elisa das Neves,Dezembro,50,19836.2,Cartão de Crédito,4
João Gabriel Monteiro,Janeiro,28,9349.6,Dinheiro,
Vicente Cavalcanti,Agosto,15,17389.56,PIX,
Ana Sophia Araújo,Março,39,49799.38,PIX,
Samuel Pereira,Dezembro,6,5515.93,Dinheiro,
Ana Sophia Araújo,Julho,15,5204.65,PIX,
Dra. Pietra Viana,Novembro,7,5253.79,PIX,
Sr. Bryan Nascimento,Março,44,57213.02,Cartão de Crédito,2
Samuel Pereira,Dezembro,19,3069.03,Cartão de Crédito,1
Ana Sophia Araújo,Outubro,24,43803.91,PIX,
Alice da Paz,Outubro,50,65784.67,PIX,
Enzo Santos,Maio,40,8931.06,PIX,
Clarice Porto,Novembro,50,99813.76,PIX,
Nicolas Pereira,Julho,12,22763.56,PIX,
Alice da Paz,Fevereiro,9,15208.77,PIX,
Alice da Paz,Julho,1,310.06,Dinheiro,
Ana Sophia Araújo,Fevereiro,33,10989.33,Cartão de Crédito,1
Dr. Davi Lucas da Rosa,Dezembro,27,31112.16,Cartão de Crédito,4
Enzo Santos,Maio,49,92712.82,PIX,
Vicente Cavalcanti,Julho,34,6153.47,Cartão de Crédito,6
Sra. Elisa das Neves,Dezembro,43,34222.13,Cartão de Crédito,2
Clarice Porto,Janeiro,47,14360.62,PIX,
Samuel Pereira,Janeiro,30,7812.79,Dinheiro,
Ana Sophia Araújo,Julho,29,8501.82,Cartão de Crédito,4
Samuel Pereira,Abril,22,5531.78,Cartão de Crédito,3
Antônio Carvalho,Setembro,18,18627.53,Cartão de Crédito,4
Vicente Cavalcanti,Fevereiro,46,21778.78,Cartão de Crédito,6
Enzo Santos,Março,23,25534.93,Dinheiro,
Emilly Almeida,Junho,29,26367.55,PIX,
Clarice Porto,Maio,32,5004.79,Cartão de Crédito,6
Ana Sophia Araújo,Junho,13,25994.04,Cartão de Crédito,6
Enzo Santos,Março,29,53700.51,PIX,
João Gabriel Monteiro,Julho,28,46593.87,Cartão de Crédito,3
Clarice Porto,Fevereiro,34,18939.39,Cartão de Crédito,12
Sr. Bryan Nascimento,Agosto,2,321.92,PIX,
Enzo Santos,Julho,28,8128.89,PIX,
Emilly Almeida,Outubro,2,3069.36,Cartão de Crédito,1
Alice da Paz,Outubro,32,43725.42,Cartão de Crédito,3
Ana Sophia Araújo,Janeiro,48,64545.41,Dinheiro,
Sarah Viana,Setembro,50,94440.28,Cartão de Crédito,12
Clarice Porto,Dezembro,46,59755.92,PIX,
Clarice Porto,Janeiro,21,12046.69,Dinheiro,
Sra. Elisa das Neves,Junho,12,2164.37,Dinheiro,
Clarice Porto,Setembro,3,4904.64,PIX,
Emilly Almeida,Outubro,32,59699.07,PIX,
Dr. Davi Lucas da Rosa,Outubro,34,67334.48,Dinheiro,
Sarah Viana,Novembro,5,2387.31,Dinheiro,
Alice da Paz,Novembro,8,13167.71,PIX,
Clarice Porto,Setembro,48,31486.58,PIX,
João Gabriel Monteiro,Julho,7,2674.25,PIX,
Nicolas Pereira,Janeiro,32,32377.43,PIX,
Sarah Viana,Abril,12,18578.05,PIX,
Vicente Cavalcanti,Abril,48,67626.24,Dinheiro,
Emilly Almeida,Outubro,39,25322.75,Dinheiro,
João Gabriel Monteiro,Fevereiro,40,37901.17,Cartão de Crédito,1
Samuel Pereira,Maio,11,19563.58,Dinheiro,
Vicente Cavalcanti,Janeiro,14,13829.34,Dinheiro,
Alice da Paz,Setembro,11,3308.95,PIX,
Ana Sophia Araújo,Março,43,58659.75,Cartão de Crédito,12
Dr. Davi Lucas da Rosa,Novembro,41,24314.39,Dinheiro,
Dr. Davi Lucas da Rosa,Fevereiro,16,12829.06,Dinheiro,
Dr. Davi Lucas da Rosa,Outubro,37,39760.75,Dinheiro,
João Gabriel Monteiro,Outubro,29,52535.87,Cartão de Crédito,1
Alice da Paz,Janeiro,47,79379.83,Dinheiro,
Emilly Almeida,Outubro,19,35393.7,Dinheiro,
Ana Sophia Araújo,Fevereiro,35,65217.04,PIX,
Nicolas Pereira,Setembro,9,3648.25,Cartão de Crédito,4
João Gabriel Monteiro,Junho,34,36549.19,Cartão de Crédito,6
Alice da Paz,Setembro,24,22357.65,Cartão de Crédito,6
Vicente Cavalcanti,Janeiro,2,1186.1,Cartão de Crédito,4
Alice da Paz,Junho,31,42361.8,Cartão de Crédito,2
Enzo Santos,Outubro,6,4014.93,PIX,
Sra. Elisa das Neves,Novembro,43,11165.46,Cartão de Crédito,6
João Gabriel Monteiro,Agosto,44,72713.08,PIX,
Dr. Davi Lucas da Rosa,Março,39,53577.55,Dinheiro,
João Gabriel Monteiro,Setembro,10,9803.82,PIX,
Clarice Porto,Novembro,31,42243.96,Cartão de Crédito,3
Ana Sophia Araújo,Outubro,23,12322.04,Cartão de Crédito,3
João Gabriel Monteiro,Fevereiro,38,34378.35,PIX,
Enzo Santos,Janeiro,32,57894.89,Dinheiro,
Sarah Viana,Março,32,20474.34,Dinheiro,
Dra. Pietra Viana,Setembro,15,10999.25,PIX,
Antônio Carvalho,Fevereiro,50,93445.97,Dinheiro,
Dr. Davi Lucas da Rosa,Novembro,43,56684.15,Cartão de Crédito,3
Emilly Almeida,Janeiro,39,72533.43,Dinheiro,
Emilly Almeida,Maio,40,32599.91,Dinheiro,
Sarah Viana,Dezembro,17,31918.48,PIX,
Ana Sophia Araújo,Maio,29,31094.7,Cartão de Crédito,1
Alice da Paz,Janeiro,10,11655.83,Cartão de Crédito,4
Vicente Cavalcanti,Março,23,27645.89,Cartão de Crédito,12
Enzo Santos,Maio,35,39856.34,Cartão de Crédito,6
Clarice Porto,Abril,18,20084.08,Dinheiro,
Samuel Pereira,Setembro,15,19001.29,PIX,
Vicente Cavalcanti,Maio,26,26288.47,Dinheiro,
Alice da Paz,Outubro,37,8490.94,Cartão de Crédito,6
Sr. Bryan Nascimento,Fevereiro,6,4018.86,Cartão de Crédito,1
Clarice Porto,Dezembro,16,12475.51,Dinheiro,
Emilly Almeida,Março,14,20411.94,Cartão de Crédito,2
Sarah Viana,Agosto,47,41101.58,Cartão de Crédito,3
Vicente Cavalcanti,Abril,3,5534.6,PIX,
Dra. Pietra Viana,Setembro,7,6028.09,Dinheiro,
Ana Sophia Araújo,Março,24,43733.17,PIX,
Dr. Davi Lucas da Rosa,Maio,32,11994.39,Cartão de Crédito,6
Sra. Elisa das Neves,Julho,21,28046.4,Cartão de Crédito,12
Nicolas Pereira,Maio,2,3193.25,PIX,
Enzo Santos,Fevereiro,31,47605.16,PIX,
João Gabriel Monteiro,Dezembro,5,7837.8,Cartão de Crédito,12
Nicolas Pereira,Outubro,35,41620.1,Dinheiro,
Emilly Almeida,Janeiro,35,39479.28,Dinheiro,
Ana Sophia Araújo,Julho,30,50499.69,Cartão de Crédito,1
Nicolas Pereira,Fevereiro,29,17824.94,Dinheiro,
Sr. Bryan Nascimento,Fevereiro,15,25432.44,Dinheiro,
Vicente Cavalcanti,Julho,41,33431.82,PIX,
Dra. Pietra Viana,Julho,40,54400.76,Dinheiro,
Dr. Davi Lucas da Rosa,Abril,45,87884.37,PIX,
Samuel Pereira,Outubro,36,33719.71,Dinheiro,
Enzo Santos,Outubro,20,28170.19,Cartão de Crédito,3
Antônio Carvalho,Outubro,17,33318.35,Dinheiro,
Ana Sophia Araújo,Fevereiro,8,10128.2,Dinheiro,
Clarice Porto,Novembro,12,2535.81,Dinheiro,
Dr. Davi Lucas da Rosa,Agosto,24,13635.68,PIX,
João Gabriel Monteiro,Dezembro,3,2302.19,Cartão de Crédito,4
Sra. Elisa das Neves,Julho,44,65277.32,Cartão de Crédito,6
Dra. Pietra Viana,Setembro,26,12832.79,PIX,
Sarah Viana,Julho,46,61201.86,Cartão de Crédito,6
Clarice Porto,Maio,21,16958.3,Cartão de Crédito,4
Alice da Paz,Janeiro,4,588.28,Dinheiro,
Emilly Almeida,Outubro,20,32665.76,PIX,
Dra. Pietra Viana,Outubro,17,7479.36,PIX,
João Gabriel Monteiro,Julho,25,34914.4,PIX,
Dr. Davi Lucas da Rosa,Dezembro,36,45555.91,PIX,
Alice da Paz,Julho,4,2884.25,PIX,
Nicolas Pereira,Março,1,1658.36,PIX,
Antônio Carvalho,Julho,24,24745.34,PIX,
Antônio Carvalho,Setembro,2,2370.6,PIX,
Dr. Davi Lucas da Rosa,Junho,15,6980.19,Dinheiro,
Dr. Davi Lucas da Rosa,Outubro,2,1815.58,Cartão de Crédito,3
Nicolas Pereira,Julho,25,39705.76,Dinheiro,
Vicente Cavalcanti,Julho,22,31485.01,Cartão de Crédito,1
Enzo Santos,Novembro,22,27432.59,PIX,
Sarah Viana,Janeiro,1,1420.11,Dinheiro,
Enzo Santos,Março,12,3899.85,Cartão de Crédito,3
Vicente Cavalcanti,Agosto,28,54102.57,PIX,
Samuel Pereira,Novembro,31,21395.3,Cartão de Crédito,3
Clarice Porto,Fevereiro,25,3818.07,Cartão de Crédito,2
Nicolas Pereira,Dezembro,7,1927.59,Dinheiro,
Sr. Bryan Nascimento,Maio,35,56492.65,Dinheiro,
Enzo Santos,Janeiro,1,1544.94,Dinheiro,
Ana Sophia Araújo,Fevereiro,31,37780.9,PIX,
Alice da Paz,Dezembro,32,63491.53,Cartão de Crédito,2
Sr. Bryan Nascimento,Fevereiro,12,14374.74,PIX,
Alice da Paz,Janeiro,18,17057.15,Dinheiro,
Enzo Santos,Maio,11,14446.62,PIX,
Sra. Elisa das Neves,Março,47,14604.06,Cartão de Crédito,1
Sarah Viana,Setembro,17,9090.48,PIX,
Antônio Carvalho,Abril,28,21192.26,Dinheiro,
Samuel Pereira,Julho,49,54456.19,PIX,
Dra. Pietra Viana,Junho,41,17249.8,PIX,
Dra. Pietra Viana,Março,20,6860.83,Dinheiro,
Dra. Pietra Viana,Dezembro,49,26551.4,PIX,
João Gabriel Monteiro,Maio,24,38739.37,PIX,
Ana Sophia Araújo,Janeiro,44,83366.28,PIX,
Nicolas Pereira,Novembro,24,15405.44,PIX,
Antônio Carvalho,Dezembro,10,17527.54,Cartão de Crédito,1
Vicente Cavalcanti,Abril,10,18758.44,PIX,
Nicolas Pereira,Setembro,40,62166.6,Dinheiro,
Alice da Paz,Novembro,40,59741.43,Cartão de Crédito,4
Alice da Paz,Julho,49,24104.66,Dinheiro,
Nicolas Pereira,Novembro,42,58345.75,Cartão de Crédito,4
Vicente Cavalcanti,Janeiro,13,22729.96,Dinheiro,
Dra. Pietra Viana,Julho,44,18588.25,Cartão de Crédito,4
Antônio Carvalho,Dezembro,1,1344.6,Cartão de Crédito,1
Clarice Porto,Julho,16,26731.73,PIX,
Antônio Carvalho,Dezembro,41,19240.79,PIX,
Clarice Porto,Abril,21,30795.55,Dinheiro,
Sr. Bryan Nascimento,Março,18,23145.21,Cartão de Crédito,3
Sr. Bryan Nascimento,Abril,20,2448.98,Dinheiro,
Dr. Davi Lucas da Rosa,Novembro,48,14269.93,Cartão de Crédito,12
Sr. Bryan Nascimento,Julho,29,29026.8,PIX,
Dra. Pietra Viana,Fevereiro,28,21172.11,Cartão de Crédito,3
Nicolas Pereira,Maio,43,82365.29,PIX,
Nicolas Pereira,Julho,4,6676.47,Cartão de Crédito,6
João Gabriel Monteiro,Junho,45,10139.36,Dinheiro,
Clarice Porto,Abril,29,41722.18,Dinheiro,
Sra. Elisa das Neves,Janeiro,42,58961.98,Dinheiro,
Emilly Almeida,Junho,16,21166.94,Cartão de Crédito,2
Dra. Pietra Viana,Agosto,33,35433.27,PIX,
Sr. Bryan Nascimento,Setembro,48,40002.89,Dinheiro,
Clarice Porto,Outubro,28,55370.75,Dinheiro,
Dra. Pietra Viana,Março,49,69194.85,Cartão de Crédito,3
Antônio Carvalho,Agosto,38,54562.2,PIX,
Sra. Elisa das Neves,Maio,29,40424.41,PIX,
Enzo Santos,Abril,3,4918.28,Dinheiro,
Clarice Porto,Setembro,48,92671.83,Dinheiro,
Nicolas Pereira,Março,18,6321.28,Cartão de Crédito,6
Emilly Almeida,Abril,38,36256.1,Dinheiro,
Sarah Viana,Abril,37,59402.12,Cartão de Crédito,1
Emilly Almeida,Novembro,36,37797.89,PIX,
João Gabriel Monteiro,Março,37,18469.35,Cartão de Crédito,6
Sr. Bryan Nascimento,Setembro,4,5808.85,Dinheiro,
João Gabriel Monteiro,Abril,11,4145.25,Cartão de Crédito,1
Ana Sophia Araújo,Março,15,6508.28,Cartão de Crédito,1
Sra. Elisa das Neves,Dezembro,34,28331.71,PIX,
Enzo Santos,Fevereiro,3,5487.23,Dinheiro,
Sr. Bryan Nascimento,Novembro,39,53656.15,Dinheiro,
João Gabriel Monteiro,Novembro,31,45205.6,Cartão de Crédito,1
Dra. Pietra Viana,Fevereiro,19,8735.57,PIX,
Dr. Davi Lucas da Rosa,Fevereiro,19,4127.8,Dinheiro,
Sarah Viana,Setembro,19,35420.88,Dinheiro,
Sarah Viana,Novembro,6,7321.81,Cartão de Crédito,4
Nicolas Pereira,Julho,49,76255.04,Dinheiro,
Emilly Almeida,Março,13,9077.09,PIX,
Sr. Bryan Nascimento,Outubro,21,35299.1,Cartão de Crédito,1
Ana Sophia Araújo,Abril,47,73737.36,Cartão de Crédito,4
Sr. Bryan Nascimento,Julho,12,1279.99,PIX,
Antônio Carvalho,Dezembro,38,31177.48,Cartão de Crédito,3
Ana Sophia Araújo,Dezembro,3,2784.7,Dinheiro,
Enzo Santos,Julho,18,4947.34,Cartão de Crédito,12
Enzo Santos,Junho,20,34965.14,Dinheiro,
Sra. Elisa das Neves,Dezembro,15,29623.27,Cartão de Crédito,4
Dra. Pietra Viana,Junho,7,6004.35,Dinheiro,
Nicolas Pereira,Outubro,31,5571.31,Dinheiro,
Ana Sophia Araújo,Junho,50,58361.29,Cartão de Crédito,4
Enzo Santos,Setembro,13,8566.77,Cartão de Crédito,4
Dra. Pietra Viana,Dezembro,37,43391.5,PIX,
Vicente Cavalcanti,Julho,39,37920.3,Cartão de Crédito,6
Sarah Viana,Setembro,28,32487.2,Dinheiro,
João Gabriel Monteiro,Novembro,37,12017.42,Dinheiro,
Emilly Almeida,Novembro,42,42926.55,Dinheiro,
Sra. Elisa das Neves,Junho,2,1609.78,Dinheiro,
Enzo Santos,Março,24,23081.16,Cartão de Crédito,6
Alice da Paz,Julho,2,2834.21,Cartão de Crédito,2
Ana Sophia Araújo,Fevereiro,9,8280.58,Dinheiro,
Dr. Davi Lucas da Rosa,Junho,30,51408.4,Dinheiro,
Dra. Pietra Viana,Outubro,36,60442.93,Cartão de Crédito,4
Ana Sophia Araújo,Maio,6,6907.57,Cartão de Crédito,6
Antônio Carvalho,Março,5,7947.67,PIX,
Antônio Carvalho,Setembro,21,40863.47,Cartão de Crédito,4
Alice da Paz,Agosto,19,27388.99,Dinheiro,
Samuel Pereira,Março,32,21245.31,Dinheiro,
Vicente Cavalcanti,Fevereiro,7,7906.08,Dinheiro,
Dra. Pietra Viana,Março,18,4943.05,Dinheiro,
Clarice Porto,Julho,9,8351.2,Cartão de Crédito,2
Vicente Cavalcanti,Outubro,31,22788.35,Dinheiro,
Sra. Elisa das Neves,Agosto,4,6564.84,PIX,
Samuel Pereira,Dezembro,24,14547.89,Cartão de Crédito,1
Sr. Bryan Nascimento,Setembro,23,32060.37,PIX,
Alice da Paz,Janeiro,21,19461.19,Dinheiro,
Vicente Cavalcanti,Janeiro,37,13649.98,PIX,
Alice da Paz,Janeiro,46,54813.28,Dinheiro,
Ana Sophia Araújo,Fevereiro,41,35205.35,Dinheiro,
João Gabriel Monteiro,Junho,27,16813.09,Cartão de Crédito,4
Vicente Cavalcanti,Abril,9,5661.43,PIX,
Vicente Cavalcanti,Setembro,11,20318.44,Dinheiro,
Antônio Carvalho,Dezembro,18,1972.94,Cartão de Crédito,4
Dra. Pietra Viana,Novembro,34,15206.83,Dinheiro,
Nicolas Pereira,Dezembro,29,16144.41,Cartão de Crédito,4
Sra. Elisa das Neves,Julho,35,64959.03,PIX,
Ana Sophia Araújo,Agosto,5,1059.72,PIX,
Dra. Pietra Viana,Novembro,45,68886.47,Cartão de Crédito,1
Sra. Elisa das Neves,Outubro,24,46847.44,Dinheiro,
Vicente Cavalcanti,Agosto,7,13748.03,Dinheiro,
Sra. Elisa das Neves,Junho,12,10944.8,Dinheiro,
João Gabriel Monteiro,Janeiro,48,37880.73,PIX,
Ana Sophia Araújo,Outubro,9,4313.32,Cartão de Crédito,4
Sra. Elisa das Neves,Julho,38,26464.31,Cartão de Crédito,1
Alice da Paz,Maio,45,75463.04,Dinheiro,
Sra. Elisa das Neves,Setembro,37,58900.09,Dinheiro,
Samuel Pereira,Junho,45,29554.54,Dinheiro,
Vicente Cavalcanti,Outubro,34,33653.81,Dinheiro,
Dra. Pietra Viana,Outubro,14,24414.44,PIX,
Antônio Carvalho,Março,39,22950.43,PIX,
Dr. Davi Lucas da Rosa,Fevereiro,27,45603.85,Cartão de Crédito,6
Dr. Davi Lucas da Rosa,Dezembro,33,61341.11,PIX,
Sarah Viana,Maio,35,8995.72,Dinheiro,
Dr. Davi Lucas da Rosa,Fevereiro,3,1769.56,Cartão de Crédito,2
Antônio Carvalho,Setembro,43,54200.23,Cartão de Crédito,12
Vicente Cavalcanti,Fevereiro,30,53866.91,Cartão de Crédito,12
Antônio Carvalho,Agosto,17,18625.78,Cartão de Crédito,3
Sr. Bryan Nascimento,Março,27,29885.91,PIX,
Sr. Bryan Nascimento,Maio,35,32455.54,Dinheiro,
Enzo Santos,Agosto,13,15830.66,Cartão de Crédito,12
Nicolas Pereira,Maio,35,36974.76,Dinheiro,
Nicolas Pereira,Março,21,34028.06,PIX,
João Gabriel Monteiro,Novembro,20,17423.9,Cartão de Crédito,6
Ana Sophia Araújo,Junho,22,4418.45,PIX,
João Gabriel Monteiro,Maio,46,8980.57,PIX,
Alice da Paz,Outubro,22,16931.96,PIX,
Enzo Santos,Março,14,16417.59,Dinheiro,
Sr. Bryan Nascimento,Janeiro,39,6420.46,PIX,
João Gabriel Monteiro,Junho,7,1265.32,Dinheiro,
Samuel Pereira,Maio,47,7160.78,Dinheiro,
Sra. Elisa das Neves,Abril,7,13348.86,Cartão de Crédito,4
Dr. Davi Lucas da Rosa,Setembro,25,7000.85,Dinheiro,
Ana Sophia Araújo,Março,22,35867.45,Dinheiro,
Alice da Paz,Novembro,25,5064.21,Dinheiro,
Vicente Cavalcanti,Março,41,5953.48,Dinheiro,
Clarice Porto,Junho,15,10481.12,PIX,
Samuel Pereira,Fevereiro,44,19207.77,Cartão de Crédito,1
Emilly Almeida,Março,12,11180.41,PIX,
Dr. Davi Lucas da Rosa,Outubro,23,40403.03,Cartão de Crédito,1
Vicente Cavalcanti,Julho,49,80539.66,Cartão de Crédito,1
Antônio Carvalho,Fevereiro,22,11170.23,Dinheiro,
João Gabriel Monteiro,Março,23,44540.96,Dinheiro,
Emilly Almeida,Novembro,38,22545.26,Dinheiro,
João Gabriel Monteiro,Outubro,22,3537.21,PIX,
Ana Sophia Araújo,Agosto,7,10874.3,Dinheiro,
Sarah Viana,Março,30,36912.75,Cartão de Crédito,3
Samuel Pereira,Dezembro,38,52467.96,Dinheiro,
Ana Sophia Araújo,Abril,43,65656.38,Cartão de Crédito,1
